ID,Name,Proponent,Project Type,Methodology,Status,Country/Area,Region,Project Registration Date,Sustainable Development Goals
3907,Shine I – Distribution of LED Lightbulbs in East India,C-Quest Capital SG India LED Private Limited,Energy,,Undergoing validation,India,Asia,,04: Quality Education; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action
3883,Shuzhou Adjusted Water Management in Rice Cultivation,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3884,Installation of high efficiency cookstoves in Sub Saharan Africa by BURN,ECOA Climate Capital,Energy,,Undergoing validation,Kenya,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3881,EMPOWERING COMMUNITIES THROUGH IMPROVED COOKSTOVES,Carbon Kind Ltd,Energy,,Undergoing validation and verification,Togo,Africa,,01: No Poverty; 03: Good Health and Well-being; 04: Quality Education; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3835,Grouped projects for water purifiers for climate and community action – Phase 2,Sustainability Investment Promotion and Development Joint Stock Company,Water access and sanitation,,Undergoing validation,Viet Nam,Asia,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 06: Clean Water and Sanitation; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3836,Grouped Projects for Viet Nam Cookstove Program – Phase 2,Sustainability Investment Promotion and Development Joint Stock Company,Energy,,Undergoing validation,Viet Nam,Asia,,01: No Poverty; 03: Good Health and Well-being; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 13: Climate Action; 15: Life on Land
3794,Adjusted Water Management in Rice Cultivation in Jintang County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3732,Adjusted Water Management in Rice Cultivation in Xindu District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3716,Adjusted Water Management in Rice Cultivation in Anzhou District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
3717,Adjusted Water Management in Rice Cultivation in Jiangyou City,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,,Undergoing validation and verification,China,Asia,,02: Zero Hunger; 04: Quality Education; 08: Decent Work and Economic Growth; 13: Climate Action
